mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
0.374074112,-0.419444472,1,0,0,3.729000092,consent_button,space,8.379999876,space,48.48200011,space,8.038000107,space,8.875,"[-0.3,0]","[0.3,0]","[-0.1,0]","[0.5,0]","[0.1,0]","[-0.5,0]",m,1,3.785000086,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,5,1,11,yellow,yellow,yellow,yellow,yellow,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.5,0]","[-0.1,0]","[0.3,0]","[-0.3,0]","[0.1,0]",c,1,9.174999952,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,2,1,11,blue,blue,blue,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.1,0]","[0.1,0]","[0.5,0]","[-0.3,0]","[0.3,0]",c,0,3.621999979,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.5,0]","[0.3,0]","[0.1,0]","[-0.1,0]","[-0.5,0]",c,1,5.65199995,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,4,1,11,blue,yellow,yellow,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.1,0]","[0.1,0]","[-0.5,0]","[-0.3,0]","[0.3,0]",c,1,3.075999975,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,3,1,11,blue,blue,yellow,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[-0.3,0]","[-0.1,0]","[0.1,0]","[-0.5,0]",c,0,2.289000034,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,1,1,11,blue,blue,blue,blue,yellow,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[-0.3,0]","[0.1,0]","[0.5,0]","[0.3,0]","[-0.5,0]",c,0,2.381999969,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.5,0]","[-0.3,0]","[0.3,0]","[0.1,0]","[-0.1,0]",c,0,1.739999771,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,1,1,11,blue,blue,blue,blue,yellow,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.1,0]","[-0.1,0]","[0.3,0]","[0.5,0]","[-0.3,0]",c,1,2.059000015,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,3,1,11,blue,blue,yellow,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[-0.1,0]","[0.1,0]","[-0.5,0]","[-0.3,0]",c,1,1.843000174,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,4,1,11,blue,yellow,yellow,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.5,0]","[-0.3,0]","[0.3,0]","[-0.1,0]","[0.1,0]",m,1,1.601999998,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,5,1,11,yellow,yellow,yellow,yellow,yellow,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.1,0]","[-0.3,0]","[0.5,0]","[0.1,0]","[-0.5,0]",c,1,4.25999999,1,0,8,3,1,7,non_convex_b4_v2.xlsx,2,0,12,2,1,11,blue,blue,blue,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,3,1,7,non_convex_b4_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,space,2.161999941,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,3,1,7,non_convex_b4_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.1,0]","[-0.1,0]","[0.3,0]","[-0.5,0]","[0.5,0]",c,1,3.967000008,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,3,1,11,blue,blue,red,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.3,0]","[-0.3,0]","[-0.5,0]","[0.5,0]","[0.1,0]",c,1,2.509000063,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,4,1,11,blue,red,red,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[0.3,0]","[-0.1,0]","[-0.5,0]","[-0.3,0]",c,0,2.45600009,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,1,1,11,blue,blue,blue,blue,red,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.1,0]","[-0.5,0]","[0.5,0]","[0.3,0]","[-0.3,0]",c,0,6.855000019,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.5,0]","[0.5,0]","[-0.3,0]","[-0.1,0]","[0.1,0]",c,1,1.625999928,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,2,1,11,blue,blue,blue,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.1,0]","[0.5,0]","[-0.3,0]","[0.3,0]","[-0.1,0]",m,1,1.554999828,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,5,1,11,red,red,red,red,red,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.1,0]","[-0.5,0]","[0.3,0]","[-0.1,0]","[0.5,0]",c,0,4.210000038,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,0,1,11,blue,blue,blue,blue,blue,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[0.3,0]","[-0.5,0]","[-0.3,0]","[-0.1,0]",c,0,1.305999994,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,1,1,11,blue,blue,blue,blue,red,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.5,0]","[-0.1,0]","[-0.5,0]","[0.1,0]","[0.3,0]",m,1,0.920000076,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,5,1,11,red,red,red,red,red,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.5,0]","[-0.1,0]","[0.3,0]","[0.5,0]","[-0.3,0]",c,1,7.620999813,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,3,1,11,blue,blue,red,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.3,0]","[0.5,0]","[-0.5,0]","[-0.1,0]","[0.3,0]",c,1,0.665999889,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,2,1,11,blue,blue,blue,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.3,0]","[0.5,0]","[-0.1,0]","[0.1,0]","[-0.5,0]",m,0,1.473999977,1,0,8,0,1,7,non_convex_b1_v2.xlsx,2,0,12,4,1,11,blue,red,red,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,0,1,7,non_convex_b1_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,space,0.63499999,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,0,1,7,non_convex_b1_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.1,0]","[-0.3,0]","[0.5,0]","[-0.5,0]","[0.3,0]",c,0,2.641000032,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,0,1,11,red,red,red,red,red,blue,m,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.3,0]","[0.5,0]","[-0.1,0]","[0.1,0]","[0.3,0]",c,1,0.614000082,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,2,1,11,red,red,red,blue,blue,blue,c,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.1,0]","[-0.3,0]","[0.3,0]","[0.5,0]","[-0.1,0]",c,0,4.518000126,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,1,1,11,red,red,red,red,blue,blue,m,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.3,0]","[-0.3,0]","[0.5,0]","[-0.1,0]","[0.1,0]",m,1,0.972999811,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,5,1,11,blue,blue,blue,blue,blue,blue,m,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.3,0]","[0.1,0]","[0.3,0]","[-0.1,0]","[0.5,0]",m,0,1.782999992,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,3,1,11,red,red,blue,blue,blue,blue,c,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.1,0]","[-0.3,0]","[0.1,0]","[0.3,0]","[-0.5,0]",c,1,0.667000055,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,4,1,11,red,blue,blue,blue,blue,blue,c,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.3,0]","[0.1,0]","[-0.5,0]","[-0.1,0]","[0.5,0]",c,0,0.883000135,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,0,1,11,red,red,red,red,red,blue,m,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.1,0]","[-0.5,0]","[0.5,0]","[0.1,0]","[-0.3,0]",m,1,1.11500001,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,5,1,11,blue,blue,blue,blue,blue,blue,m,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.1,0]","[-0.5,0]","[-0.3,0]","[0.3,0]","[0.5,0]",c,0,0.86500001,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,1,1,11,red,red,red,red,blue,blue,m,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
