mouse_consent.x,mouse_consent.y,mouse_consent.leftButton,mouse_consent.midButton,mouse_consent.rightButton,mouse_consent.time,mouse_consent.clicked_name,key_resp_introduction.keys,key_resp_introduction.rt,key_resp_instructions.keys,key_resp_instructions.rt,example_resp.keys,example_resp.rt,example_resp_2.keys,example_resp_2.rt,pol1,pol2,pol3,pol4,pol5,pol6,key_resp_monotonicity.keys,key_resp_monotonicity.corr,key_resp_monotonicity.rt,condition.thisRepN,condition.thisTrialN,condition.thisN,condition.thisIndex,condition.ran,condition.order,condFile,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,obj1,obj2,obj3,obj4,obj5,obj6,corrAns,quantifier,target,Prolific_ID*,gender,age,date,expName,psychopyVersion,OS,frameRate,key_resp.keys,key_resp.rt,break_look.thisRepN,break_look.thisTrialN,break_look.thisN,break_look.thisIndex,break_look.ran,break_look.order,key_resp_instruction_test.keys,key_resp_instruction_test.rt,size_rep.keys,size_rep.rt,rep_test.keys,rep_test.corr,rep_test.rt,test_trials.thisRepN,test_trials.thisTrialN,test_trials.thisN,test_trials.thisIndex,test_trials.ran,test_trials.order,s1,s2,s3,s4,s5,s6,col,typedWord
,,,,,,,,,,,,,,,"[0.5,0]","[-0.3,0]","[0.1,0]","[-0.5,0]","[-0.1,0]","[0.3,0]",m,0,0.707999945,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,2,1,11,red,red,red,blue,blue,blue,c,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[-0.1,0]","[0.5,0]","[0.1,0]","[0.3,0]","[-0.5,0]",c,1,0.650000095,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,3,1,11,red,red,blue,blue,blue,blue,c,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[-0.5,0]","[0.1,0]","[0.5,0]","[-0.1,0]","[0.3,0]",c,1,1.93599987,1,0,8,4,1,7,non_convex_b5_v2.xlsx,2,0,12,4,1,11,red,blue,blue,blue,blue,blue,c,noncon,blue,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,4,1,7,non_convex_b5_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,space,0.83100009,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,4,1,7,non_convex_b5_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[-0.1,0]","[-0.3,0]","[0.3,0]","[-0.5,0]",m,0,2.473999977,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,3,1,11,yellow,yellow,green,green,green,green,c,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.1,0]","[0.3,0]","[0.5,0]","[-0.3,0]","[-0.5,0]",m,1,1.053000212,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,5,1,11,green,green,green,green,green,green,m,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.3,0]","[0.1,0]","[-0.1,0]","[-0.5,0]","[0.3,0]",m,0,1.08100009,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,4,1,11,yellow,green,green,green,green,green,c,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.1,0]","[0.5,0]","[-0.5,0]","[0.3,0]","[-0.3,0]",c,0,0.633000135,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,green,m,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.3,0]","[-0.1,0]","[0.5,0]","[0.3,0]","[0.1,0]",m,0,0.680999994,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,green,green,green,c,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.1,0]","[-0.3,0]","[-0.5,0]","[0.5,0]","[0.3,0]",c,0,0.552000046,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,1,1,11,yellow,yellow,yellow,yellow,green,green,m,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.5,0]","[0.3,0]","[-0.3,0]","[-0.5,0]","[0.1,0]",m,1,0.532999992,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,1,1,11,yellow,yellow,yellow,yellow,green,green,m,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.1,0]","[-0.1,0]","[0.3,0]","[-0.5,0]","[0.5,0]",m,1,1.107000113,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,5,1,11,green,green,green,green,green,green,m,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[-0.5,0]","[0.5,0]","[0.1,0]","[-0.1,0]","[0.3,0]",m,1,6.313999891,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,0,1,11,yellow,yellow,yellow,yellow,yellow,green,m,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[-0.1,0]","[-0.5,0]","[0.3,0]","[-0.3,0]",m,0,1.121999979,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,3,1,11,yellow,yellow,green,green,green,green,c,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.3,0]","[-0.5,0]","[0.1,0]","[-0.1,0]","[0.5,0]",c,1,0.605999947,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,2,1,11,yellow,yellow,yellow,green,green,green,c,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[-0.5,0]","[-0.3,0]","[-0.1,0]","[0.1,0]","[0.5,0]",m,0,0.861999989,1,0,8,5,1,7,non_convex_b6_v2.xlsx,2,0,12,4,1,11,yellow,green,green,green,green,green,c,noncon,green,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,5,1,7,non_convex_b6_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,space,0.746000051,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,5,1,7,non_convex_b6_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[-0.1,0]","[0.5,0]","[0.3,0]","[-0.3,0]","[0.1,0]",m,0,1.248000145,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,3,1,11,green,green,red,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.1,0]","[-0.5,0]","[0.5,0]","[-0.1,0]","[-0.3,0]",c,0,0.444999933,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,1,1,11,green,green,green,green,red,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.1,0]","[-0.3,0]","[0.3,0]","[-0.5,0]","[0.1,0]",m,1,0.534000158,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,0,1,11,green,green,green,green,green,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.5,0]","[-0.5,0]","[-0.1,0]","[0.3,0]","[0.1,0]",m,1,0.915999889,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,5,1,11,red,red,red,red,red,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[-0.3,0]","[0.5,0]","[0.3,0]","[-0.1,0]","[-0.5,0]",m,0,0.51699996,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,2,1,11,green,green,green,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[0.3,0]","[-0.3,0]","[0.5,0]","[-0.5,0]","[0.1,0]",m,0,0.871999979,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,4,1,11,green,red,red,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.3,0]","[-0.5,0]","[-0.3,0]","[-0.1,0]","[0.5,0]",c,0,1.078000069,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,1,1,11,green,green,green,green,red,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.1,0]","[0.3,0]","[-0.1,0]","[-0.3,0]","[0.5,0]",m,0,1.331999779,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,4,1,11,green,red,red,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[-0.5,0]","[-0.3,0]","[0.1,0]","[0.3,0]","[-0.1,0]",c,1,0.44299984,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,3,1,11,green,green,red,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[-0.3,0]","[-0.1,0]","[-0.5,0]","[0.1,0]",c,1,0.641000032,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,2,1,11,green,green,green,red,red,red,c,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[-0.1,0]","[0.3,0]","[-0.5,0]","[0.1,0]","[0.5,0]",c,0,1.167000055,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,0,1,11,green,green,green,green,green,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.1,0]","[-0.5,0]","[0.5,0]","[0.1,0]","[0.3,0]","[-0.3,0]",m,1,0.786999941,1,0,8,2,1,7,non_convex_b3_v2.xlsx,2,0,12,5,1,11,red,red,red,red,red,red,m,noncon,red,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,2,1,7,non_convex_b3_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,space,1.121000051,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1,0,8,2,1,7,non_convex_b3_v2.xlsx,,,,,,,,,,,,,,,,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.5,0]","[-0.3,0]","[-0.1,0]","[0.1,0]","[0.3,0]",c,1,0.735000134,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,3,1,11,green,green,yellow,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.3,0]","[0.1,0]","[0.3,0]","[0.5,0]","[-0.5,0]","[-0.1,0]",c,0,1.018000126,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,0,1,11,green,green,green,green,green,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.1,0]","[-0.1,0]","[-0.5,0]","[-0.3,0]","[0.3,0]",m,1,0.669999838,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,5,1,11,yellow,yellow,yellow,yellow,yellow,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.1,0]","[-0.3,0]","[0.5,0]","[-0.1,0]","[-0.5,0]",m,1,1.090999842,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,1,1,11,green,green,green,green,yellow,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.5,0]","[-0.1,0]","[-0.3,0]","[0.1,0]","[-0.5,0]",m,0,0.672999859,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,4,1,11,green,yellow,yellow,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[-0.5,0]","[0.5,0]","[-0.3,0]","[-0.1,0]","[0.3,0]","[0.1,0]",c,1,0.394000053,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,2,1,11,green,green,green,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.3,0]","[0.5,0]","[-0.5,0]","[-0.1,0]","[0.1,0]","[-0.3,0]",m,1,0.258000135,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,5,1,11,yellow,yellow,yellow,yellow,yellow,yellow,m,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.5,0]","[0.3,0]","[-0.3,0]","[-0.1,0]","[-0.5,0]","[0.1,0]",c,1,0.5,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,2,1,11,green,green,green,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,"[0.1,0]","[0.5,0]","[-0.1,0]","[-0.3,0]","[0.3,0]","[-0.5,0]",m,0,0.237999916,1,0,8,1,1,7,non_convex_b2_v2.xlsx,2,0,12,3,1,11,green,green,yellow,yellow,yellow,yellow,c,noncon,yellow,5c0c24711b80df00017827ea,Female,31,2020-03-26_15h17.54.407,non-convex_v1,3.2.4,Win32,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
